complaint_id,category,complaint_text,area,date_reported,priority,status
1,Water Supply,"Irregular water supply timing in Melapudur, water comes only for 10 minutes.",Melapudur,2026-03-11,High,In Progress
2,Road Damage,Deep crack across the road in Cantonment is widening every day.,Cantonment,2026-02-14,Medium,In Progress
3,Street Light,Broken street light glass in Anna Nagar Lake Road is scattered on the footpath.,Anna Nagar,2025-05-16,High,In Progress
4,Water Supply,"Irregular water supply timing in Golden Rock, water comes only for 10 minutes.",Golden Rock,2025-04-29,Medium,Resolved
5,Street Light,Street light near Woraiyur bus stop flickers constantly at night.,Woraiyur,2025-12-05,Low,Resolved
6,Garbage,Overflowing garbage bin near Woraiyur 3rd Street is attracting stray dogs and flies.,Woraiyur,2026-06-02,High,Pending
7,Drainage,Open drain near Thiruverumbur school is a safety hazard for children.,Thiruverumbur,2026-05-29,Low,Pending
8,Water Supply,Salty/foul smelling water is being supplied in Woraiyur Cross Street.,Woraiyur,2025-09-05,High,In Progress
9,Road Damage,Uneven road surface on Palpannai Main Road makes it difficult for vehicles to pass.,Palpannai,2026-04-18,High,Pending
10,Drainage,Stagnant drainage water in Ponmalai has been standing for over a week.,Ponmalai,2026-04-30,Medium,Pending
11,Water Supply,New water connection request in Melapudur is pending for over a month.,Melapudur,2025-10-03,High,Pending
12,Street Light,Street light near Palpannai bus stop flickers constantly at night.,Palpannai,2025-01-18,High,Resolved
13,Drainage,Foul smell from the drainage line near Bharathi Nagar market is unbearable.,Bharathi Nagar,2025-07-11,Medium,Resolved
14,Water Supply,Water tanker has not arrived in Thiruverumbur despite booking three days ago.,Thiruverumbur,2025-07-09,Low,Pending
15,Water Supply,Water tanker has not arrived in Srirangam despite booking three days ago.,Srirangam,2025-04-04,High,Pending
16,Garbage,The garbage truck has skipped our street (Woraiyur 2nd Street) for three days in a row.,Woraiyur,2025-01-26,Low,Pending
17,Water Supply,"Water supply valve in Golden Rock is broken, entire street has no water.",Golden Rock,2025-04-13,Low,In Progress
18,Garbage,Public dustbin at Palpannai junction is broken and waste is scattered on the road.,Palpannai,2026-03-15,High,In Progress
19,Road Damage,"Road repair work in Melapudur was left incomplete, causing traffic issues.",Melapudur,2026-02-12,Low,In Progress
20,Garbage,"Dead animal lying near the garbage dump in K.K. Nagar Market Street, needs urgent removal.",K.K. Nagar,2025-07-07,Medium,In Progress
21,Street Light,Newly installed street light in Melapudur Bypass Road is not switching on.,Melapudur,2025-11-25,Low,In Progress
