complaint_id,category,complaint_text,area,date_reported,priority,status,clean_text,tokens
1,Water Supply,"Irregular water supply timing in Melapudur, water comes only for 10 minutes.",Melapudur,2026-03-11,High,In Progress,irregular water supply timing melapudur water comes minutes,"['irregular', 'water', 'supply', 'timing', 'melapudur', 'water', 'comes', 'minutes']"
2,Road Damage,Deep crack across the road in Cantonment is widening every day.,Cantonment,2026-02-14,Medium,In Progress,deep crack across road cantonment widening every day,"['deep', 'crack', 'across', 'road', 'cantonment', 'widening', 'every', 'day']"
3,Street Light,Broken street light glass in Anna Nagar Lake Road is scattered on the footpath.,Anna Nagar,2025-05-16,High,In Progress,broken street light glass anna nagar lake road scattered footpath,"['broken', 'street', 'light', 'glass', 'anna', 'nagar', 'lake', 'road', 'scattered', 'footpath']"
4,Water Supply,"Irregular water supply timing in Golden Rock, water comes only for 10 minutes.",Golden Rock,2025-04-29,Medium,Resolved,irregular water supply timing golden rock water comes minutes,"['irregular', 'water', 'supply', 'timing', 'golden', 'rock', 'water', 'comes', 'minutes']"
5,Street Light,Street light near Woraiyur bus stop flickers constantly at night.,Woraiyur,2025-12-05,Low,Resolved,street light near woraiyur bus stop flickers constantly night,"['street', 'light', 'near', 'woraiyur', 'bus', 'stop', 'flickers', 'constantly', 'night']"
6,Garbage,Overflowing garbage bin near Woraiyur 3rd Street is attracting stray dogs and flies.,Woraiyur,2026-06-02,High,Pending,overflowing garbage bin near woraiyur rd street attracting stray dogs flies,"['overflowing', 'garbage', 'bin', 'near', 'woraiyur', 'rd', 'street', 'attracting', 'stray', 'dogs', 'flies']"
7,Drainage,Open drain near Thiruverumbur school is a safety hazard for children.,Thiruverumbur,2026-05-29,Low,Pending,open drain near thiruverumbur school safety hazard children,"['open', 'drain', 'near', 'thiruverumbur', 'school', 'safety', 'hazard', 'children']"
8,Water Supply,Salty/foul smelling water is being supplied in Woraiyur Cross Street.,Woraiyur,2025-09-05,High,In Progress,saltyfoul smelling water supplied woraiyur cross street,"['saltyfoul', 'smelling', 'water', 'supplied', 'woraiyur', 'cross', 'street']"
9,Road Damage,Uneven road surface on Palpannai Main Road makes it difficult for vehicles to pass.,Palpannai,2026-04-18,High,Pending,uneven road surface palpannai main road makes difficult vehicles pass,"['uneven', 'road', 'surface', 'palpannai', 'main', 'road', 'makes', 'difficult', 'vehicles', 'pass']"
10,Drainage,Stagnant drainage water in Ponmalai has been standing for over a week.,Ponmalai,2026-04-30,Medium,Pending,stagnant drainage water ponmalai standing week,"['stagnant', 'drainage', 'water', 'ponmalai', 'standing', 'week']"
11,Water Supply,New water connection request in Melapudur is pending for over a month.,Melapudur,2025-10-03,High,Pending,new water connection request melapudur pending month,"['new', 'water', 'connection', 'request', 'melapudur', 'pending', 'month']"
12,Street Light,Street light near Palpannai bus stop flickers constantly at night.,Palpannai,2025-01-18,High,Resolved,street light near palpannai bus stop flickers constantly night,"['street', 'light', 'near', 'palpannai', 'bus', 'stop', 'flickers', 'constantly', 'night']"
13,Drainage,Foul smell from the drainage line near Bharathi Nagar market is unbearable.,Bharathi Nagar,2025-07-11,Medium,Resolved,foul smell drainage line near bharathi nagar market unbearable,"['foul', 'smell', 'drainage', 'line', 'near', 'bharathi', 'nagar', 'market', 'unbearable']"
14,Water Supply,Water tanker has not arrived in Thiruverumbur despite booking three days ago.,Thiruverumbur,2025-07-09,Low,Pending,water tanker arrived thiruverumbur despite booking three days ago,"['water', 'tanker', 'arrived', 'thiruverumbur', 'despite', 'booking', 'three', 'days', 'ago']"
15,Water Supply,Water tanker has not arrived in Srirangam despite booking three days ago.,Srirangam,2025-04-04,High,Pending,water tanker arrived srirangam despite booking three days ago,"['water', 'tanker', 'arrived', 'srirangam', 'despite', 'booking', 'three', 'days', 'ago']"
16,Garbage,The garbage truck has skipped our street (Woraiyur 2nd Street) for three days in a row.,Woraiyur,2025-01-26,Low,Pending,garbage truck skipped street woraiyur nd street three days row,"['garbage', 'truck', 'skipped', 'street', 'woraiyur', 'nd', 'street', 'three', 'days', 'row']"
17,Water Supply,"Water supply valve in Golden Rock is broken, entire street has no water.",Golden Rock,2025-04-13,Low,In Progress,water supply valve golden rock broken entire street water,"['water', 'supply', 'valve', 'golden', 'rock', 'broken', 'entire', 'street', 'water']"
18,Garbage,Public dustbin at Palpannai junction is broken and waste is scattered on the road.,Palpannai,2026-03-15,High,In Progress,public dustbin palpannai junction broken waste scattered road,"['public', 'dustbin', 'palpannai', 'junction', 'broken', 'waste', 'scattered', 'road']"
19,Road Damage,"Road repair work in Melapudur was left incomplete, causing traffic issues.",Melapudur,2026-02-12,Low,In Progress,road repair work melapudur left incomplete causing traffic issues,"['road', 'repair', 'work', 'melapudur', 'left', 'incomplete', 'causing', 'traffic', 'issues']"
20,Garbage,"Dead animal lying near the garbage dump in K.K. Nagar Market Street, needs urgent removal.",K.K. Nagar,2025-07-07,Medium,In Progress,dead animal lying near garbage dump kk nagar market street needs urgent removal,"['dead', 'animal', 'lying', 'near', 'garbage', 'dump', 'kk', 'nagar', 'market', 'street', 'needs', 'urgent', 'removal']"
21,Street Light,Newly installed street light in Melapudur Bypass Road is not switching on.,Melapudur,2025-11-25,Low,In Progress,newly installed street light melapudur bypass road switching,"['newly', 'installed', 'street', 'light', 'melapudur', 'bypass', 'road', 'switching']"
22,Water Supply,No water supply in Edamalaipatti Pudur Market Street for the past 2 days.,Edamalaipatti Pudur,2026-03-13,High,Pending,water supply edamalaipatti pudur market street past days,"['water', 'supply', 'edamalaipatti', 'pudur', 'market', 'street', 'past', 'days']"
23,Drainage,Drainage cleaning has not been done in Cantonment Lake Road for months.,Cantonment,2025-02-14,Medium,In Progress,drainage cleaning done cantonment lake road months,"['drainage', 'cleaning', 'done', 'cantonment', 'lake', 'road', 'months']"
24,Drainage,Sewage water has entered houses in Melapudur 2nd Street after the rain.,Melapudur,2025-06-25,High,Resolved,sewage water entered houses melapudur nd street rain,"['sewage', 'water', 'entered', 'houses', 'melapudur', 'nd', 'street', 'rain']"
25,Drainage,Open drain near Ponmalai school is a safety hazard for children.,Ponmalai,2025-07-18,Medium,Resolved,open drain near ponmalai school safety hazard children,"['open', 'drain', 'near', 'ponmalai', 'school', 'safety', 'hazard', 'children']"
26,Street Light,Multiple street lights along Thillai Nagar Main Road are non-functional after the storm.,Thillai Nagar,2026-03-10,Medium,Resolved,multiple street lights along thillai nagar main road nonfunctional storm,"['multiple', 'street', 'lights', 'along', 'thillai', 'nagar', 'main', 'road', 'nonfunctional', 'storm']"
27,Water Supply,Pipeline leakage near Palpannai Main Road is wasting a large amount of water daily.,Palpannai,2026-02-22,Low,Pending,pipeline leakage near palpannai main road wasting large amount water daily,"['pipeline', 'leakage', 'near', 'palpannai', 'main', 'road', 'wasting', 'large', 'amount', 'water', 'daily']"
28,Drainage,Sewage water has entered houses in Gandhi Nagar 2nd Street after the rain.,Gandhi Nagar,2026-03-25,Low,Pending,sewage water entered houses gandhi nagar nd street rain,"['sewage', 'water', 'entered', 'houses', 'gandhi', 'nagar', 'nd', 'street', 'rain']"
29,Road Damage,Uneven road surface on Cantonment Bypass Road makes it difficult for vehicles to pass.,Cantonment,2026-04-07,High,Pending,uneven road surface cantonment bypass road makes difficult vehicles pass,"['uneven', 'road', 'surface', 'cantonment', 'bypass', 'road', 'makes', 'difficult', 'vehicles', 'pass']"
30,Street Light,Multiple street lights along Ariyamangalam Main Road are non-functional after the storm.,Ariyamangalam,2026-05-07,Low,Resolved,multiple street lights along ariyamangalam main road nonfunctional storm,"['multiple', 'street', 'lights', 'along', 'ariyamangalam', 'main', 'road', 'nonfunctional', 'storm']"
31,Electricity,Exposed electrical wires near Ariyamangalam Colony Road are a serious safety hazard.,Ariyamangalam,2025-03-05,Low,Resolved,exposed electrical wires near ariyamangalam colony road serious safety hazard,"['exposed', 'electrical', 'wires', 'near', 'ariyamangalam', 'colony', 'road', 'serious', 'safety', 'hazard']"
32,Road Damage,"Speed breaker on Kattur 2nd Street is broken and unmarked, risky at night.",Kattur,2026-01-28,Medium,Pending,speed breaker kattur nd street broken unmarked risky night,"['speed', 'breaker', 'kattur', 'nd', 'street', 'broken', 'unmarked', 'risky', 'night']"
33,Drainage,Foul smell from the drainage line near Thillai Nagar market is unbearable.,Thillai Nagar,2026-06-27,Medium,In Progress,foul smell drainage line near thillai nagar market unbearable,"['foul', 'smell', 'drainage', 'line', 'near', 'thillai', 'nagar', 'market', 'unbearable']"
34,Garbage,"Dead animal lying near the garbage dump in Palpannai Cross Street, needs urgent removal.",Palpannai,2026-01-23,Low,Resolved,dead animal lying near garbage dump palpannai cross street needs urgent removal,"['dead', 'animal', 'lying', 'near', 'garbage', 'dump', 'palpannai', 'cross', 'street', 'needs', 'urgent', 'removal']"
35,Road Damage,Uneven road surface on Ariyamangalam 2nd Street makes it difficult for vehicles to pass.,Ariyamangalam,2025-11-26,Low,Resolved,uneven road surface ariyamangalam nd street makes difficult vehicles pass,"['uneven', 'road', 'surface', 'ariyamangalam', 'nd', 'street', 'makes', 'difficult', 'vehicles', 'pass']"
36,Drainage,Choked stormwater drain in Gandhi Nagar Bypass Road floods during light rain.,Gandhi Nagar,2025-06-25,High,In Progress,choked stormwater drain gandhi nagar bypass road floods light rain,"['choked', 'stormwater', 'drain', 'gandhi', 'nagar', 'bypass', 'road', 'floods', 'light', 'rain']"
37,Drainage,Drainage cleaning has not been done in Ariyamangalam Market Street for months.,Ariyamangalam,2025-01-27,High,Resolved,drainage cleaning done ariyamangalam market street months,"['drainage', 'cleaning', 'done', 'ariyamangalam', 'market', 'street', 'months']"
38,Garbage,No garbage collection has happened in Gandhi Nagar since last Monday.,Gandhi Nagar,2025-09-29,Medium,In Progress,garbage collection happened gandhi nagar since last monday,"['garbage', 'collection', 'happened', 'gandhi', 'nagar', 'since', 'last', 'monday']"
39,Electricity,Overhead electric line is sagging dangerously low on Cantonment Cross Street.,Cantonment,2025-11-15,High,Resolved,overhead electric line sagging dangerously low cantonment cross street,"['overhead', 'electric', 'line', 'sagging', 'dangerously', 'low', 'cantonment', 'cross', 'street']"
40,Street Light,Newly installed street light in Puthur Bypass Road is not switching on.,Puthur,2025-06-08,Medium,Pending,newly installed street light puthur bypass road switching,"['newly', 'installed', 'street', 'light', 'puthur', 'bypass', 'road', 'switching']"
42,Garbage,Public dustbin at Golden Rock junction is broken and waste is scattered on the road.,Golden Rock,2025-04-28,High,Resolved,public dustbin golden rock junction broken waste scattered road,"['public', 'dustbin', 'golden', 'rock', 'junction', 'broken', 'waste', 'scattered', 'road']"
43,Electricity,Frequent power cuts in Thiruverumbur 3rd Street for the past week without prior notice.,Thiruverumbur,2025-01-31,Medium,Pending,frequent power cuts thiruverumbur rd street past week without prior notice,"['frequent', 'power', 'cuts', 'thiruverumbur', 'rd', 'street', 'past', 'week', 'without', 'prior', 'notice']"
44,Water Supply,"Water supply valve in Thillai Nagar is broken, entire street has no water.",Thillai Nagar,2026-03-19,High,In Progress,water supply valve thillai nagar broken entire street water,"['water', 'supply', 'valve', 'thillai', 'nagar', 'broken', 'entire', 'street', 'water']"
45,Water Supply,"Irregular water supply timing in Vayalur Road, water comes only for 10 minutes.",Vayalur Road,2025-09-19,Medium,Pending,irregular water supply timing vayalur road water comes minutes,"['irregular', 'water', 'supply', 'timing', 'vayalur', 'road', 'water', 'comes', 'minutes']"
46,Drainage,Broken underground drainage pipe in Srirangam is leaking onto the street.,Srirangam,2025-03-27,Low,In Progress,broken underground drainage pipe srirangam leaking onto street,"['broken', 'underground', 'drainage', 'pipe', 'srirangam', 'leaking', 'onto', 'street']"
47,Road Damage,Waterlogged potholes on Palpannai Cross Street are damaging vehicle tyres.,Palpannai,2025-04-27,Medium,Resolved,waterlogged potholes palpannai cross street damaging vehicle tyres,"['waterlogged', 'potholes', 'palpannai', 'cross', 'street', 'damaging', 'vehicle', 'tyres']"
48,Electricity,Electric pole near Thiruverumbur is leaning dangerously and needs urgent repair.,Thiruverumbur,2025-01-12,Medium,Pending,electric pole near thiruverumbur leaning dangerously needs urgent repair,"['electric', 'pole', 'near', 'thiruverumbur', 'leaning', 'dangerously', 'needs', 'urgent', 'repair']"
49,Water Supply,"Water supply valve in Puthur is broken, entire street has no water.",Puthur,2025-04-06,Medium,Pending,water supply valve puthur broken entire street water,"['water', 'supply', 'valve', 'puthur', 'broken', 'entire', 'street', 'water']"
50,Water Supply,Water tanker has not arrived in Bharathi Nagar despite booking three days ago.,Bharathi Nagar,2025-10-30,High,In Progress,water tanker arrived bharathi nagar despite booking three days ago,"['water', 'tanker', 'arrived', 'bharathi', 'nagar', 'despite', 'booking', 'three', 'days', 'ago']"
51,Water Supply,Water tanker has not arrived in Puthur despite booking three days ago.,Puthur,2026-04-16,Medium,Resolved,water tanker arrived puthur despite booking three days ago,"['water', 'tanker', 'arrived', 'puthur', 'despite', 'booking', 'three', 'days', 'ago']"
52,Road Damage,Newly laid road in Cantonment is already cracking within a few months.,Cantonment,2025-11-30,Low,In Progress,newly laid road cantonment already cracking within months,"['newly', 'laid', 'road', 'cantonment', 'already', 'cracking', 'within', 'months']"
53,Garbage,Construction debris dumped illegally on Gandhi Nagar Colony Road is blocking the footpath.,Gandhi Nagar,2026-01-20,Medium,Resolved,construction debris dumped illegally gandhi nagar colony road blocking footpath,"['construction', 'debris', 'dumped', 'illegally', 'gandhi', 'nagar', 'colony', 'road', 'blocking', 'footpath']"
54,Garbage,Overflowing garbage bin near Thillai Nagar 2nd Street is attracting stray dogs and flies.,Thillai Nagar,2025-02-06,Medium,Resolved,overflowing garbage bin near thillai nagar nd street attracting stray dogs flies,"['overflowing', 'garbage', 'bin', 'near', 'thillai', 'nagar', 'nd', 'street', 'attracting', 'stray', 'dogs', 'flies']"
55,Street Light,Street light near Anna Nagar bus stop flickers constantly at night.,Anna Nagar,2025-08-26,High,Resolved,street light near anna nagar bus stop flickers constantly night,"['street', 'light', 'near', 'anna', 'nagar', 'bus', 'stop', 'flickers', 'constantly', 'night']"
